"datetime","stripchart_stage","year","date","stream_height_ft","diff"
2017-04-04 11:45:00,0.241,2017,2017-04-04,0.241,0
2017-04-11 09:50:00,0.172,2017,2017-04-11,0.172,0
2017-04-17 09:55:00,0.123,2017,2017-04-17,0.123,0
2017-04-19 14:15:00,0.261,2017,2017-04-19,0.261,0
2017-04-24 08:40:00,0.191,2017,2017-04-24,0.191,0
2017-05-02 13:05:00,0.2,2017,2017-05-02,0.2,0
2017-05-08 08:55:00,0.097,2017,2017-05-08,0.097,0
2017-05-15 08:45:00,0.046,2017,2017-05-15,0.046,0
2017-05-22 09:15:00,0.073,2017,2017-05-22,0.073,0
2017-05-30 08:40:00,0.078,2017,2017-05-30,0.078,0
2017-06-05 08:40:00,0.029,2017,2017-06-05,0.029,0
2017-06-14 13:50:00,0.201,2017,2017-06-14,0.201,0
2017-06-19 09:05:00,0.102,2017,2017-06-19,0.102,0
2017-06-26 08:50:00,0.096,2017,2017-06-26,0.096,0
2017-07-03 08:30:00,0.027,2017,2017-07-03,0.027,0
2017-09-25 09:15:00,0.098,2017,2017-09-25,0.098,0
2017-10-02 10:25:00,0.114,2017,2017-10-02,0.114,0
2017-10-10 13:00:00,0.054,2017,2017-10-10,0.054,0
2017-10-16 10:20:00,0.046,2017,2017-10-16,0.046,0
2017-10-23 13:00:00,0.053,2017,2017-10-23,0.053,0
2017-10-31 10:45:00,0.073,2017,2017-10-31,0.073,0
2017-11-07 12:40:00,0.06,2017,2017-11-07,0.06,0
2017-11-13 11:30:00,0.032,2017,2017-11-13,0.032,0
2017-11-20 13:35:00,0.033,2017,2017-11-20,0.033,0
2017-11-27 12:25:00,0.026,2017,2017-11-27,0.026,0
2017-12-04 13:00:00,NA,2017,2017-12-04,NA,NA
2017-12-11 11:40:00,NA,2017,2017-12-11,NA,NA
2018-04-25 10:55:00,0.262,2018,2018-04-25,0.262,0
2018-04-30 09:40:00,NA,2018,2018-04-30,NA,NA
2018-04-30 11:30:00,0.225,2018,2018-04-30,0.225,0
2018-05-07 10:35:00,0.156,2018,2018-05-07,0.156,0
