"datetime","stream_height_ft","date"
2017-03-01 00:00:00,0.0966216216216217,2017-03-01
2017-03-01 03:00:45,0.0952702702702704,2017-03-01
2017-03-01 05:59:30,0.093918918918919,2017-03-01
2017-03-01 09:02:16,0.0932432432432433,2017-03-01
2017-03-01 12:01:00,0.0905405405405406,2017-03-01
2017-03-01 12:47:12,0.091891891891892,2017-03-01
2017-03-01 12:57:14,0.0898648648648649,2017-03-01
2017-03-01 14:57:44,0.0891891891891893,2017-03-01
2017-03-01 17:58:30,0.0891891891891893,2017-03-01
2017-03-01 20:59:15,0.0891891891891893,2017-03-01
2017-03-01 23:59:59,0.0878378378378379,2017-03-01
2017-03-02 00:00:00,0.0885144532571513,2017-03-02
2017-03-02 02:56:15,0.0877551403976994,2017-03-02
2017-03-02 06:00:30,0.0856416569559824,2017-03-02
2017-03-02 09:00:45,0.0835300530015411,2017-03-02
2017-03-02 11:55:00,0.0814212682780137,2017-03-02
2017-03-02 14:07:11,0.0813592451979099,2017-03-02
2017-03-02 14:21:12,0.0793256399654174,2017-03-02
2017-03-02 15:01:15,0.078631169416983,2017-03-02
2017-03-02 17:55:30,0.0785494117204826,2017-03-02
2017-03-02 20:57:45,0.0784638950494304,2017-03-02
2017-03-02 23:59:59,0.0783802578656542,2017-03-02
2017-03-03 00:00:00,0.0793322704854604,2017-03-03
2017-03-03 02:56:32,0.0782451822224708,2017-03-03
2017-03-03 05:59:57,0.0758332634091311,2017-03-03
2017-03-03 09:05:20,0.0740907522911829,2017-03-03
2017-03-03 12:02:33,0.0743368854828033,2017-03-03
2017-03-03 15:05:49,0.0745914095786833,2017-03-03
2017-03-03 18:03:04,0.0741709320429986,2017-03-03
2017-03-03 21:04:21,0.0737560484434873,2017-03-03
2017-03-03 23:59:59,0.070674721934756,2017-03-03
2017-03-04 00:00:00,0.0711409395973154,2017-03-04
2017-03-04 02:52:58,0.069959881519253,2017-03-04
2017-03-04 05:57:59,0.0708034944321547,2017-03-04
2017-03-04 09:01:00,0.0689606688913051,2017-03-04
2017-03-04 12:02:01,0.0691293914738855,2017-03-04
2017-03-04 17:53:58,0.0681151812830415,2017-03-04
2017-03-04 21:03:01,0.0689625435866672,2017-03-04
2017-03-04 23:59:59,0.0704679239623561,2017-03-04
2017-03-05 00:00:00,0.071522653482881,2017-03-05
2017-03-05 03:01:07,0.0693698347107441,2017-03-05
2017-03-05 06:01:32,0.0731773907910274,2017-03-05
2017-03-05 08:58:00,0.0743395808736721,2017-03-05
2017-03-05 11:56:28,0.0761621900826449,2017-03-05
2017-03-05 15:01:00,0.0753302095631644,2017-03-05
2017-03-05 17:59:27,0.0778150826446283,2017-03-05
2017-03-05 20:55:53,0.0803018004722553,2017-03-05
2017-03-05 23:59:59,0.0794716646989377,2017-03-05
2017-03-06 00:00:00,0.0812087562858691,2017-03-06
2017-03-06 03:02:07,0.0808685248537191,2017-03-06
2017-03-06 06:00:37,0.0805357710354625,2017-03-06
2017-03-06 08:57:11,0.0849045669526853,2017-03-06
2017-03-06 11:57:51,0.092621464490681,2017-03-06
2017-03-06 15:02:37,0.105699811190249,2017-03-06
2017-03-06 17:57:19,0.116112388536818,2017-03-06
2017-03-06 21:03:56,0.12113360626624,2017-03-06
2017-03-06 23:59:59,0.128861720225076,2017-03-06
2017-03-07 00:00:00,0.128184190902312,2017-03-07
2017-03-07 03:04:00,0.130786726323639,2017-03-07
2017-03-07 06:02:00,0.130032624906786,2017-03-07
2017-03-07 07:28:00,0.131334824757644,2017-03-07
2017-03-07 09:04:00,0.131290082028337,2017-03-07
2017-03-07 12:00:00,0.129865771812081,2017-03-07
2017-03-07 15:00:00,0.129110738255034,2017-03-07
2017-03-07 18:02:00,0.130368195376585,2017-03-07
2017-03-07 20:58:00,0.130286167039523,2017-03-07
2017-03-07 23:59:59,0.130872483221476,2017-03-07
2017-03-08 00:00:00,0.131081081081081,2017-03-08
2017-03-08 02:58:06,0.131756756756756,2017-03-08
2017-03-08 06:00:52,0.131756756756756,2017-03-08
2017-03-08 09:01:38,0.131081081081081,2017-03-08
2017-03-08 12:00:24,0.130405405405405,2017-03-08
2017-03-08 15:01:10,0.129729729729729,2017-03-08
2017-03-08 17:57:53,0.130405405405405,2017-03-08
2017-03-08 21:00:38,0.131081081081081,2017-03-08
2017-03-08 23:59:59,0.131081081081081,2017-03-08
2017-03-09 00:00:00,0.129995151695974,2017-03-09
2017-03-09 02:56:04,0.128829693997427,2017-03-09
2017-03-09 05:55:20,0.128329013370131,2017-03-09
2017-03-09 08:52:38,0.126493184403379,2017-03-09
2017-03-09 11:58:00,0.124664814365898,2017-03-09
2017-03-09 14:55:13,0.124828910809853,2017-03-09
2017-03-09 18:02:34,0.123669047308259,2017-03-09
2017-03-09 20:57:52,0.12183135360919,2017-03-09
2017-03-09 23:59:59,0.118667835232252,2017-03-09
2017-03-10 00:00:00,0.120134228187919,2017-03-10
2017-03-10 02:58:00,0.116107382550335,2017-03-10
2017-03-10 06:00:00,0.114093959731544,2017-03-10
2017-03-10 09:02:00,0.11006711409396,2017-03-10
2017-03-10 11:56:00,0.106711409395973,2017-03-10
2017-03-10 18:00:00,0.102013422818792,2017-03-10
2017-03-10 21:00:00,0.0993288590604026,2017-03-10
2017-03-10 23:59:59,0.0966442953020133,2017-03-10
2017-03-11 00:00:00,0.0959731543624159,2017-03-11
2017-03-11 03:02:15,0.0953020134228186,2017-03-11
2017-03-11 05:58:30,0.0919463087248321,2017-03-11
2017-03-11 08:58:45,0.0892617449664428,2017-03-11
2017-03-11 12:01:00,0.0872483221476509,2017-03-11
2017-03-11 14:57:15,0.085234899328859,2017-03-11
2017-03-11 17:55:30,0.0805369127516777,2017-03-11
2017-03-11 20:53:44,0.0805369127516777,2017-03-11
2017-03-11 23:59:59,0.0778523489932884,2017-03-11
2017-03-12 00:00:00,0.0791916740560973,2017-03-12
2017-03-12 03:01:47,0.0768423017687963,2017-03-12
2017-03-12 06:03:59,0.0738180799925326,2017-03-12
2017-03-12 08:56:10,0.0714836421337564,2017-03-12
2017-03-12 12:02:22,0.0684519531432303,2017-03-12
2017-03-12 14:58:34,0.0661100480701916,2017-03-12
2017-03-12 18:00:47,0.0637569421757593,2017-03-12
2017-03-12 21:01:00,0.0620786857702896,2017-03-12
2017-03-12 23:59:59,0.0597330470901197,2017-03-12
2017-03-13 00:00:00,0.0604045566444825,2017-03-13
2017-03-13 02:58:45,0.0595649284397144,2017-03-13
2017-03-13 05:57:29,0.056042608557281,2017-03-13
2017-03-13 08:58:15,0.0538606984733182,2017-03-13
2017-03-13 12:03:01,0.0516750442279073,2017-03-13
2017-03-13 18:02:31,0.0466419552011084,2017-03-13
2017-03-13 21:01:15,0.0458041990770643,2017-03-13
2017-03-13 23:59:59,0.0429530201342282,2017-03-13
2017-03-14 00:00:00,0.043627092589468,2017-03-14
2017-03-14 03:02:11,0.0417805522749,2017-03-14
2017-03-14 05:57:10,0.0412725193558666,2017-03-14
2017-03-14 06:27:21,0.0399583825431638,2017-03-14
2017-03-14 08:56:10,0.0407682357572688,2017-03-14
2017-03-14 11:26:53,0.0462778621374873,2017-03-14
2017-03-14 12:13:10,0.0449787226065274,2017-03-14
2017-03-14 12:35:18,0.0449993438689236,2017-03-14
2017-03-14 14:54:08,0.0417730536340286,2017-03-14
2017-03-14 17:57:09,0.0419436477138517,2017-03-14
2017-03-14 21:00:10,0.0414431134356896,2017-03-14
2017-03-14 23:59:59,0.0416080835348591,2017-03-14
2017-03-15 00:00:00,0.0419992222366251,2017-03-15
2017-03-15 02:58:49,0.0411677561526637,2017-03-15
2017-03-15 05:58:48,0.0396677839299271,2017-03-15
2017-03-15 08:58:45,0.0375011573859743,2017-03-15
2017-03-15 10:00:44,0.0367770967204309,2017-03-15
2017-03-15 11:58:42,0.0346678765208049,2017-03-15
2017-03-15 14:56:41,0.0345030647580599,2017-03-15
2017-03-15 17:54:42,0.0350049073165309,2017-03-15
2017-03-15 20:58:42,0.0348345401011091,2017-03-15
2017-03-15 23:59:59,0.0340030740171476,2017-03-15
2017-03-16 00:00:00,0.0353333333333333,2017-03-16
2017-03-16 03:00:30,0.0353333333333333,2017-03-16
2017-03-16 05:59:00,0.0353333333333333,2017-03-16
2017-03-16 09:01:30,0.0346666666666666,2017-03-16
