"site","lab_id","name","collected","point_gage","stripchart_stage","logger_stage","year","date","diff"
"S2",354562,"S2 WEIR",2019-06-10 11:00:00,0.027,0.024,0.08,"2019","2019-06-10",0.003
"S2",354625,"S2 WEIR",2019-07-02 10:45:00,0.107,0.098,NA,"2019","2019-07-02",0.00899999999999999
"S2",354667,"S2 WEIR",2019-07-24 11:00:00,0.032,0.028,NA,"2019","2019-07-24",0.004
"S2",354782,"S2 WEIR",2019-09-16 12:00:00,0.117,0.123,NA,"2019","2019-09-16",-0.00599999999999999
"S2",354803,"S2 WEIR",2019-09-25 10:05:00,0.07,0.063,NA,"2019","2019-09-25",0.00700000000000001
"S2",354818,"S2 WEIR",2019-10-02 10:30:00,0.149,0.144,NA,"2019","2019-10-02",0.005
"S2",354838,"S2 WEIR",2019-10-07 10:45:00,0.193,0.191,NA,"2019","2019-10-07",0.002
"S2",354873,"S2 WEIR",2019-10-16 13:00:00,0.11,0.11,0.108,"2019","2019-10-16",0
"S2",354904,"S2 WEIR",2019-10-28 10:15:00,0.087,0.094,NA,"2019","2019-10-28",-0.00700000000000001
"S2",354986,"S2 WEIR",2020-03-31 17:30:00,0.16,NA,NA,"2020","2020-03-31",NA
"S2",354999,"S2 WEIR",2020-04-08 15:00:00,0.302,NA,NA,"2020","2020-04-08",NA
"S2",355018,"S2 WEIR",2020-04-20 10:30:00,0.101,0.11,NA,"2020","2020-04-20",-0.00899999999999999
"S2",355038,"S2 WEIR",2020-04-29 10:40:00,0.112,0.116,NA,"2020","2020-04-29",-0.004
"S2",355050,"S2 WEIR",2020-05-04 13:00:00,0.075,0.079,NA,"2020","2020-05-04",-0.004
"S2",355066,"S2 WEIR",2020-05-11 10:00:00,0.027,0.03,NA,"2020","2020-05-11",-0.003
"S2",355084,"S2 WEIR",2020-05-18 12:55:00,0.021,0.037,NA,"2020","2020-05-18",-0.016
"S2",355122,"S2 WEIR",2020-05-27 13:40:00,0.093,0.104,NA,"2020","2020-05-27",-0.011
"S2",355131,"S2 WEIR",2020-06-01 10:30:00,0.011,0.02,NA,"2020","2020-06-01",-0.009
"S2",355155,"S2 WEIR",2020-06-12 09:55:00,0.149,0.154,NA,"2020","2020-06-12",-0.005
"S2",355168,"S2 WEIR",2020-06-15 10:20:00,0.043,0.048,NA,"2020","2020-06-15",-0.005
"S2",355216,"S2 WEIR",2020-07-20 10:20:00,0.048,NA,NA,"2020","2020-07-20",NA
"S2",355260,"S2 WEIR",2020-07-27 10:25:00,0.089,0.092,NA,"2020","2020-07-27",-0.003
"S2",355283,"S2 WEIR",2020-08-10 10:30:00,0.282,NA,NA,"2020","2020-08-10",NA
"S2",355323,"S2 WEIR",2020-08-21 09:35:00,0.068,0.062,NA,"2020","2020-08-21",0.006
"S2",355334,"S2 WEIR",2020-08-24 10:05:00,0.063,0.051,NA,"2020","2020-08-24",0.012
"S2",355356,"S2 WEIR",2020-09-01 13:35:00,0.141,0.172,NA,"2020","2020-09-01",-0.031
"S2",355361,"S2 WEIR",2020-09-09 10:10:00,0.027,0.039,NA,"2020","2020-09-09",-0.012
"S2",355441,"S2 WEIR",2020-10-05 11:00:00,0.037,0.052,NA,"2020","2020-10-05",-0.015
"S2",355454,"S2 WEIR",2020-10-13 10:45:00,0.141,0.161,NA,"2020","2020-10-13",-0.02
"S2",355470,"S2 WEIR",2020-10-21 11:20:00,0.068,0.077,NA,"2020","2020-10-21",-0.00899999999999999
"S2",355647,"S2 WEIR",2021-03-24 10:25:00,0.083,0.067,NA,"2021","2021-03-24",0.016
"S2",355671,"S2 WEIR",2021-04-06 10:35:00,0.093,0.1,NA,"2021","2021-04-06",-0.00700000000000001
"S2",355703,"S2 WEIR",2021-04-12 12:55:00,0.34,0.343,NA,"2021","2021-04-12",-0.003
"S2",355735,"S2 WEIR",2021-04-28 10:45:00,0.086,0.093,NA,"2021","2021-04-28",-0.00700000000000001
"S2",355760,"S2 WEIR",2021-05-05 09:50:00,0.058,0.065,NA,"2021","2021-05-05",-0.007
"S2",355765,"S2 WEIR",2021-05-12 09:50:00,0.03,0.032,NA,"2021","2021-05-12",-0.002
"S2",355776,"S2 WEIR",2021-05-17 11:40:00,0.022,0.033,NA,"2021","2021-05-17",-0.011
"S2",355787,"S2 WEIR",2021-05-24 11:05:00,0.033,0.043,NA,"2021","2021-05-24",-0.01
